Name,Brand,Color,Fuel,Gearbox,Year,Km,Fuel_consumption,Co2_emission,Doors,Price
Peugeot 3008,Peugeot,Blanc Nacré / Toit Noir,Essence,Manuelle,2018,43525,5,117,5,18 299
Mini Mini,Mini,,Electrique,Automatique,2021,37343,0.0,0,,22 699
Renault Clio 5,Renault,Blanc Glacier,Essence,Manuelle,2023,13675,5.1,115,5,15 499
Renault Twingo 3,Renault,Gris Lunaire,Essence,Manuelle,2021,17392,5,117,5,11 999
Nissan Qashqai,Nissan,,Essence,Manuelle,2020,52302,,,,19 499
Renault Mégane 4,Renault,Gris Titanium,Essence,Automatique,2022,39303,5,138,5,17 799
Citroën C4 Cactus,Citroën,,Essence,Manuelle,2020,54925,,,,15 799
Peugeot 208,Peugeot,Noir Perla Nera,Essence,Manuelle,2017,90618,4.5,104,5,11 299
Fiat 500,Fiat,,Hybride essence,Manuelle,2020,12345,,,,13 999
Volkswagen Golf 7,Volkswagen,Gris Tungstene,Essence,Manuelle,2020,44184,5.1,106,5,20 799
Audi A1 Sportback,Audi,Noir Mythic,Essence,Automatique,2022,15615,5,133,5,25 499
Volkswagen T-Roc,Volkswagen,Argent Pyrite / Toit Noir,Essence,Automatique,2023,18925,6.1,123,5,30 341
Citroën C5 Aircross,Citroën,Gris Acier,Essence,Manuelle,2019,80964,5.3,118,5,17 299
Volkswagen T-Roc,Volkswagen,Gris Ascot,Essence,Manuelle,2022,10,6.6,142,5,29 299
Mercedes Classe A,Mercedes,Gris Montagne,Essence,Automatique,2022,12235,5,138,5,32 999
Citroën C5 X,Citroën,Gris Platinium,Essence,Automatique,2023,7392,6,147,5,29 999
Peugeot 3008,Peugeot,Bleu Magnetic,Essence,Manuelle,2018,72550,5,118,5,17 999
Audi Q3,Audi,Noir Mythic,Essence,Automatique,2023,8610,6,150,5,43 499
Peugeot 308,Peugeot,Blanc Nacré,Essence,Manuelle,2018,48323,4,113,5,14 799
Audi Q2,Audi,Gris Daytona,Essence,Automatique,2023,12175,6,138,5,30 899
Citroën C3 Aircross,Citroën,Sable,Diesel,Manuelle,2019,103435,N/A,107,5,13 999
Peugeot 308,Peugeot,Gris Platinium,Essence,Manuelle,2017,30380,4,117,5,15 399
Renault Captur,Renault,Orange Atacama,Diesel,Automatique,2019,43958,4.3,113,5,14 999
Mini Mini,Mini,,Essence,Automatique,2020,21069,,,,23 899
Renault Clio 5,Renault,Bleu Iron,Essence,Manuelle,2023,12314,5.1,115,5,15 599
Peugeot 5008,Peugeot,Blanc Banquise,Diesel,Automatique,2019,107374,6.3,121,5,25 299
Citroën C4,Citroën,Gris Acier,Essence,Automatique,2016,80086,5.1,117,5,12 999
Ford PUMA,Ford,,Hybride essence,Manuelle,2022,17074,,,,21 799
Renault Mégane 4,Renault,Gris Titanium,Essence,Automatique,2022,38343,5.9,138,5,17 899
Fiat 500,Fiat,Bossanova White,Hybride essence,Manuelle,2021,20985,5.3,119,3,14 199
Renault Captur,Renault,Orange Atacama / Toit Noir Etoilé,Diesel,Manuelle,2019,61495,4.2,111,5,13 999
Nissan Qashqai,Nissan,,Essence,Automatique,2019,42030,,,,21 999
Renault Zoé,Renault,Blanc Quartz,Electrique,Automatique,2020,13715,0.0,0,5,14 999
Renault Arkana,Renault,Blanc Perle,Hybride essence,Automatique,2021,19509,N/A,133,5,23 499
Renault Arkana,Renault,Orange Valencia,Hybride essence,Automatique,2022,13835,5,132,5,25 999
Citroën C5 Aircross,Citroën,Gris Platinium,Essence,Manuelle,2019,22798,5,119,5,17 499
Mercedes Classe A,Mercedes,Gris Montagne,Diesel,Automatique,2022,15075,4.9,131,5,33 299
Citroën C3,Citroën,,Essence,Manuelle,2019,50985,,,,12 999
Peugeot 5008,Peugeot,Emerald Crystal,Essence,Automatique,2019,59514,5,115,5,23 999
Audi A3 Sportback,Audi,Noir Mythic,Hybride essence,Automatique,2023,11575,5,130,5,33 399
Peugeot 208,Peugeot,Noir Perla Nera,Essence,Manuelle,2017,68610,4.5,104,5,11 199
Volkswagen Tiguan,Volkswagen,Gris Dauphin,Diesel,Automatique,2023,5000,5,144,5,43 999
Audi Q3,Audi,Gris Daytona,Essence,Automatique,2022,22,6.4,147,5,43 599
Volkswagen T-CROSS,Volkswagen,Noir Intense,Essence,Manuelle,2022,17529,5,131,5,19 999
Renault Clio 4,Renault,Gris Platine,Diesel,Manuelle,2017,88762,3.3,82,5,13 499
Peugeot 3008,Peugeot,Gris Amazonite,Essence,Manuelle,2020,62510,6.4,147,5,18 499
Renault Clio 5,Renault,Blanc Glacier,Essence,Manuelle,2021,23335,5.2,118,5,14 999
Citroën C4,Citroën,Gris Platinium,Essence,Manuelle,2021,34380,N/A,126,5,15 799
Renault Clio 5,Renault,Blanc Glacier,Essence,Manuelle,2023,12460,5,115,5,15 599
Renault Zoé,Renault,Gris Titanium,Electrique,Automatique,2020,19225,0.0,0,5,13 299
Peugeot 5008,Peugeot,,Essence,Automatique,2019,34551,,,,25 499
Dacia Duster,Dacia,Orange Atacama,Diesel,Manuelle,2020,42990,4,129,5,16 999
Renault Mégane 4,Renault,Gris Titanium,Essence,Automatique,2022,38795,5.9,138,5,17 899
Nissan Qashqai,Nissan,,Diesel,Manuelle,2020,51550,,,,20 499
Fiat 500,Fiat,,Hybride essence,Manuelle,2022,16019,,,,14 399
Toyota C-HR,Toyota,Gris Atlas,Hybride essence,Automatique,2020,38815,3.8,86,5,23 299
Mini Mini,Mini,Midnight Black II,Electrique,Automatique,2022,32947,0.0,0,3,24 499
Audi A1 Sportback,Audi,Noir Mythic,Essence,Automatique,2023,17200,5,133,5,25 999
Mini Mini,Mini,Chili Red / Toit Noir,Essence,Automatique,2022,9809,4.7,127,5,25 799
Renault Arkana,Renault,,Hybride essence,Automatique,2021,23643,,,,25 899
Renault Twingo 3,Renault,Bleu Dragée,Essence,Manuelle,2018,50215,5.5,125,5,9 499
Mercedes Classe A,Mercedes,Argent Iridium,Diesel,Automatique,2023,7236,5,133,5,34 499
Volkswagen Golf 7,Volkswagen,Noir Intense,Diesel,Manuelle,2019,91228,4.1,100,5,17 199
Citroën C3,Citroën,,Essence,Manuelle,2019,43220,,,,13 299
Volkswagen Golf 8,Volkswagen,Deep black (schwarz),Diesel,Automatique,2022,18545,5.5,137,4,35 999
Peugeot 208,Peugeot,Rouge Elixir,Essence,Manuelle,2018,72364,4.7,108,5,11 299
Citroën C4,Citroën,Noir,Essence,Manuelle,2016,73640,4.1,115,5,13 099
Audi Q3,Audi,Gris Cronos,Diesel,Automatique,2021,38698,4.8,155,5,34 099
Dacia Sandero,Dacia,Blanc Glacier,Essence,Manuelle,2020,24617,6,115,5,13 599
Mini Mini,Mini,British Racing Green mét,Electrique,Automatique,2021,25025,0.0,0,3,23 099
Citroën C3 Aircross,Citroën,Passion Red,Essence,Automatique,2018,95545,5.7,126,5,14 299
Dacia Sandero,Dacia,,Essence,Manuelle,2022,18897,,,,14 499
Renault Clio 5,Renault,,Essence,Manuelle,2021,36339,,,,15 699
Fiat 500,Fiat,,Hybride essence,Manuelle,2022,10223,,,,14 799
Renault Mégane 4,Renault,Gris Titanium,Essence,Automatique,2022,37063,5.9,138,5,17 999
Citroën C3,Citroën,Sable,Essence,Automatique,2018,67145,4,110,5,13 999
Nissan Qashqai,Nissan,Blanc Lunaire,Essence,Manuelle,2021,42678,5.5,153,5,20 499
Audi Q3,Audi,Noir Mythic,Diesel,Automatique,2015,70052,5,144,5,21 499
Fiat 500,Fiat,Epic Bleu,Hybride essence,Manuelle,2021,16420,3.9,106,3,14 799
Audi A1 Sportback,Audi,Noir Mythic,Essence,Automatique,2023,14821,5.8,133,5,26 299
Volkswagen Golf 7,Volkswagen,Blanc,Hybride essence rechargeable,Auto...,2020,19472,2.2,47,4,26 799
Renault Arkana,Renault,Blanc univers,Hybride essence,Automatique,2021,9810,5,132,5,25 999
Mercedes Classe A,Mercedes,Blanc digital,Diesel,Automatique,2023,4996,5,133,5,34 699
Citroën C5 X,Citroën,Bleu Magnetique,Hybride essence rechargeable,Auto...,2023,3698,1.2,30,5,30 399
Volkswagen Golf 8,Volkswagen,Mondsteingrau,Diesel,Automatique,2022,22740,5.5,137,4,35 899
Audi A3 Sportback,Audi,Daytonagrau,Hybride essence rechargeable,Auto...,2021,18720,1.1,29,4,35 999
Renault Clio 4,Renault,Gris Platine,Essence,Manuelle,2018,18154,5,105,5,13 999
Renault Captur,Renault,Gris Platine / Toit Noir,Essence,Manuelle,2018,19036,5.4,123,5,14 499
Peugeot 308 SW,Peugeot,ROJO,Essence,Automatique,2022,1580,5.8,132,5,30 699
Peugeot 308,Peugeot,Gris Artense,Essence,Manuelle,2018,54126,4.9,107,5,14 999
Audi Q3,Audi,Noir Mythic,Diesel,Automatique,2022,8880,5,141,5,40 499
Volkswagen Golf 7,Volkswagen,Bleu Atlantique,Hybride essence rechargeable,Auto...,2018,52631,1.6,36,5,22 199
Renault Clio 5,Renault,Gris Titanium,Essence,Manuelle,2021,32462,5.2,118,5,15 799
Peugeot 5008,Peugeot,Gris Amazonite,Diesel,Automatique,2020,62025,5,139,5,25 699
Toyota C-HR,Toyota,Rouge Intense/Toit Noir,Hybride essence,Automatique,2021,23470,5.2,120,5,24 999
Citroën C3,Citroën,Cobalt Blue - Rouge Aden,Essence,Automatique,2017,48298,4.9,110,5,14 099
Audi A1 Sportback,Audi,Blanc Glacier,Essence,Automatique,2023,12664,5.8,133,5,26 299
Mercedes Classe A,Mercedes,Noir Cosmos,Essence,Automatique,2023,13320,5,138,5,34 999
Citroën C5 X,Citroën,Noir Perla Nera,Hybride essence rechargeable,Auto...,2023,2305,1.3,27,5,30 399
Audi A3 Sportback,Audi,Gris Daytona,Hybride essence rechargeable,Auto...,2022,6108,1,35,5,35 999
Opel Corsa,Opel,Gris Quartz,Essence,Manuelle,2021,19724,5,118,5,12 999
Peugeot 3008,Peugeot,Noir Perla Nera,Essence,Manuelle,2019,76000,5,118,5,18 299
Peugeot 308,Peugeot,Gris Platinium,Essence,Manuelle,2018,38584,4.7,113,5,15 299
Citroën C3 Aircross,Citroën,Natural White,Essence,Manuelle,2017,47595,5.3,119,5,14 299
Peugeot 308 SW,Peugeot,BLANCO BLANQUISE,Hybride essence rechargeable,Auto...,2023,5573,1.1,23,5,35 699
Renault Kadjar,Renault,Rouge Flamme,Essence,Manuelle,2019,62200,5.9,135,5,17 799
Dacia Sandero,Dacia,Bleu Iron,Essence,Manuelle,2022,13850,7,109,5,15 499
Renault Clio 5,Renault,Orange Valencia,Essence,Manuelle,2021,30095,5.2,124,5,15 799
Renault Arkana,Renault,,Hybride essence,Automatique,2021,40412,,,,26 899
Peugeot 5008,Peugeot,Gris Amazonite,Diesel,Automatique,2020,60159,4,105,5,25 699
Renault Kadjar,Renault,Gris Highland,Essence,Manuelle,2021,54764,6.2,141,5,18 499
Renault Captur,Renault,Gris Cassiopée / Toit Noir,Essence,Automatique,2019,84535,5.5,125,5,14 799
Peugeot 3008,Peugeot,GRIGIO,Diesel,Automatique,2018,93851,4.2,108,5,18 999
Nissan Qashqai,Nissan,,Hybride essence,Manuelle,2022,15248,,,,26 299
Peugeot 208,Peugeot,Noir Perla Nera,Essence,Manuelle,2018,62243,4.5,104,5,11 399
Mercedes Classe A,Mercedes,Blanc Polaire,Diesel,Automatique,2023,2248,5,133,5,34 799
Renault Zoé,Renault,Gris,Electrique,Automatique,2019,52287,0.0,0,5,10 799
Peugeot 308 SW,Peugeot,Blanc Nacré,Essence,Manuelle,2017,107895,4.2,109,5,11 199
Volkswagen Golf 8,Volkswagen,Pure white (weiss),Diesel,Automatique,2023,20165,5.5,137,4,37 963
Citroën C3,Citroën,Gris Platinium/toit Noir Onyx,Essence,Manuelle,2020,36270,5.4,128,5,13 999
Opel Corsa,Opel,,Essence,Manuelle,2020,53199,,,,14 639
Volkswagen Tiguan,Volkswagen,Blanc Pur,Essence,Automatique,2019,61671,8.9,161,5,26 544
Toyota C-HR,Toyota,Gris Célestine,Hybride essence,Automatique,2022,12177,N/A,111,5,24 599
Citroën C5 Aircross,Citroën,Blanc Banquise,Diesel,Automatique,2021,95232,5,138,5,19 999
Renault Clio 5,Renault,Gris Platine,Essence,Manuelle,2021,31402,5,118,5,15 799
Renault Kadjar,Renault,Noir Etoile,Diesel,Automatique,2020,45101,4.9,113,5,18 999
Dacia Sandero,Dacia,Bleu Azurite,Essence,Manuelle,2021,38331,7,123,5,13 899
Volkswagen Tiguan,Volkswagen,Blanc Pur,Essence,Automatique,2017,42716,6,138,5,22 999
Peugeot 5008,Peugeot,Emerald Crystal / Noir Perla Nera,Essence,Manuelle,2020,37585,6.6,151,5,25 999
Volkswagen Golf 7,Volkswagen,Gris Indium,Essence,Manuelle,2020,14860,5,108,5,20 499
Renault Clio 4,Renault,Blanc Glacier,Essence,Manuelle,2017,80001,5.6,127,5,11 299
Nissan Qashqai,Nissan,Noir Métallisé,Hybride essence,Automatique,2022,19065,6,145,5,26 899
Audi A1 Sportback,Audi,Gris Chronos / Toit Noir,Essence,Automatique,2023,9785,5.8,134,5,28 399
Renault Captur,Renault,Gris Cassiopée / Toit Noir,Essence,Manuelle,2019,53770,5.4,123,5,14 699
Mercedes Classe A,Mercedes,Argent Iridium,Diesel,Automatique,2023,17095,4,131,5,35 499
Mini Cooper Cabriolet,Mini,Schwarz Metallic,Essence,Automatique,2021,65946,6.2,136,2,22 399
Mercedes GLA,Mercedes,Noir Cosmos,Diesel,Automatique,2017,115392,4.2,110,5,22 499
Audi A1 Sportback,Audi,Gris Flèche / Toit Noir,Essence,Manuelle,2022,7840,5.5,129,5,22 499
Volkswagen T-Roc,Volkswagen,,Essence,Automatique,2018,56915,,,,22 499
Nissan Qashqai,Nissan,,Essence,Automatique,2020,37520,,,,22 499
Toyota Prius,Toyota,Blanc Pur,Hybride essence,Automatique,2018,65931,3.3,78,5,22 499
Volvo XC40,Volvo,Noir Onyx,Diesel,Manuelle,2019,116030,5.3,127,5,22 499
Toyota Corolla,Toyota,Noir Métallisé,Hybride essence,Automatique,2021,34384,4.5,103,5,22 499
Citroën C5 Aircross,Citroën,Gris Platinium,Diesel,Automatique,2020,72724,4.1,102,5,22 499
BMW X1,BMW,Argento,Diesel,Automatique,2017,95490,4.7,123,5,22 499
Toyota C-HR,Toyota,Gris Platinium / Toit Noir,Hybride essence,Automatique,2019,20460,3.8,86,5,22 499
Toyota C-HR,Toyota,Gris Atlas,Hybride essence,Automatique,2020,61237,4.9,110,5,22 499
Peugeot 2008,Peugeot,Gris Platinium,Essence,Automatique,2022,21475,5,133,5,22 499
Renault Captur,Renault,Gris Highland / Toit Noir Etoilé,Hybride essence,Automatique,2022,8558,4,110,5,22 499
Toyota C-HR,Toyota,Rouge Rubi + Toit Noir,Hybride essence,Automatique,2019,48975,3.9,86,5,22 499
Mini Mini,Mini,MOONWALK GREY,Electrique,Automatique,2020,28178,0.0,0,3,22 499
Peugeot 5008,Peugeot,Bianco,Diesel,Automatique,2018,63487,4,102,5,22 499
Citroën C5 Aircross,Citroën,Noir Perla Nera,Essence,Manuelle,2020,39593,5,149,5,22 499
Peugeot 508,Peugeot,Gris Artense,Diesel,Automatique,2021,68195,4,121,5,22 499
Peugeot 208,Peugeot,Noir Perla Nera,Essence,Manuelle,2019,65230,4.7,108,5,10 999
Nissan Qashqai,Nissan,Gris Céramique / Toit Noir Métallique,Hybride essence,Automatique,2022,13075,6,145,5,26 999
Dacia Duster,Dacia,Gris Comète,Diesel,Manuelle,2021,49982,4.9,129,5,17 999
Peugeot 3008,Peugeot,Gris Artense,Essence,Manuelle,2019,41950,6,125,5,18 799
Renault Zoé,Renault,Bleu Foudre,Electrique,Automatique,2020,47105,0.0,0,5,16 599
Renault Arkana,Renault,White,Hybride essence,Automatique,2023,4774,5.9,132,5,28 499
Volkswagen T-Roc,Volkswagen,Indiumgrau,Diesel,Automatique,2022,25235,5.2,134,5,31 899
Citroën C3,Citroën,Blanc Banquise,Essence,Manuelle,2019,34350,N/A,106,5,14 299
Citroën C5 X,Citroën,Gris Amazonite,Hybride essence rechargeable,Auto...,2022,219,N/A,30,5,32 499
Citroën C3,Citroën,Blanc Banquise,Essence,Manuelle,2021,21530,5.4,123,5,13 999
Volkswagen Golf 8,Volkswagen,Weiß,Hybride essence rechargeable,Auto...,2021,18135,1.4,21,5,23 999
Dacia Sandero,Dacia,Gris Moonstone,Essence,Automatique,2021,8425,5,132,5,16 999
Peugeot 5008,Peugeot,Gris Amazonite,Diesel,Manuelle,2020,44025,5.3,142,5,26 999
Renault Captur,Renault,Orange Atacama / Toit Noir Etoilé,Essence,Manuelle,2021,26246,5.8,133,5,15 799
Renault Kadjar,Renault,Blanc Nacré,Essence,Automatique,2019,57712,6.2,133,5,18 999
Renault Clio 5,Renault,,Essence,Manuelle,2021,24664,,,,16 199
Peugeot 2008,Peugeot,Noir Perla Nera,Essence,Manuelle,2015,67886,4.9,114,5,9 699
Citroën C5 Aircross,Citroën,Blanc Banquise,Diesel,Automatique,2019,80381,4,109,5,19 999
Renault Kadjar,Renault,Gris Highland,Diesel,Manuelle,2021,45814,5,132,5,19 399
Dacia Sandero,Dacia,,Essence,Manuelle,2020,33019,,,,13 799
Citroën C4,Citroën,Gris Acier,Essence,Manuelle,2021,20661,5,120,5,17 799
Peugeot 208,Peugeot,Noir Perla Nera,Essence,Manuelle,2019,62411,4.7,108,5,11 499
Peugeot 3008,Peugeot,Blanc Banquise,Diesel,Automatique,2020,114362,4,98,5,18 999
Mercedes Classe A,Mercedes,Noir Cosmos,Hybride essence rechargeable,Auto...,2023,15808,0.8,23,5,40 999
Nissan Qashqai,Nissan,Blanc Lunaire,Hybride essence,Automatique,2022,15570,6,145,5,26 999
Peugeot 3008,Peugeot,Metallic Copper / Toit Noir,Essence,Automatique,2018,99960,5.5,120,5,18 499
Renault Captur,Renault,Ivoire,Essence,Automatique,2019,58951,5.5,125,5,14 999
Volkswagen T-Roc,Volkswagen,Indiumgrau/deep black,Diesel,Automatique,2022,23650,5.2,128,5,33 299
Peugeot 308,Peugeot,Dark Blue,Diesel,Manuelle,2018,74846,3.5,92,5,15 999
Mercedes Classe A,Mercedes,Blanc Polaire,Hybride essence rechargeable,Auto...,2022,10,1,23,5,44 199
Volkswagen Golf 8,Volkswagen,Bleu Atlantique,Diesel,Manuelle,2021,16901,4,130,5,24 799
Citroën C5 Aircross,Citroën,Gris Artense,Essence,Automatique,2019,70115,5.7,128,5,21 299
Peugeot 3008,Peugeot,Noir Perla Nera,Essence,Manuelle,2020,57294,6.5,145,5,19 299
Citroën C3,Citroën,Noir Perla Nera / Blanc Opale,Essence,Manuelle,2021,33420,5,124,5,14 399
Renault Arkana,Renault,,Hybride essence,Automatique,2021,16319,,,,28 699
Nissan Qashqai,Nissan,Gris Graphite,Hybride essence,Manuelle,2021,18500,N/A,145,5,25 499
Renault Clio 5,Renault,GREY,Essence,Manuelle,2023,14711,5.2,117,5,16 299
Peugeot 2008,Peugeot,Rouge Tourmaline,Essence,Manuelle,2015,93576,4.8,110,5,9 999
Peugeot 5008,Peugeot,Noir Perla,Essence,Automatique,2019,16789,4.6,115,5,27 099
Toyota C-HR,Toyota,,Hybride essence,Automatique,2019,90564,,,,17 999
Dacia Duster,Dacia,Bleu Iron,Diesel,Manuelle,2020,30002,4,129,5,17 999
Renault Kadjar,Renault,Gris Highland,Diesel,Manuelle,2020,25460,5,133,5,19 499
Peugeot 208,Peugeot,Gris,Essence,Manuelle,2017,52980,4.5,104,5,11 499
Citroën C4,Citroën,Blanc Banquise,Essence,Manuelle,2021,15295,5,120,5,17 999
Dacia Sandero,Dacia,Gris Highland,Essence,Manuelle,2020,18647,7,123,5,14 799
Renault Mégane 4,Renault,,Hybride essence rechargeable,Auto...,2022,11089,,,,28 399
Renault Arkana,Renault,,Hybride essence,Automatique,2022,16212,,,,28 899
Renault Mégane 4,Renault,Blanc Nacré,Essence,Manuelle,2020,50603,5.8,137,5,18 299
Dacia Duster,Dacia,Brun Vison,Diesel,Manuelle,2021,47376,4.9,131,5,17 799
Fiat 500,Fiat,Blanc,Electrique,Automatique,2022,9958,0.0,0,3,18 099
Citroën C3 Aircross,Citroën,Summit White,Essence,Manuelle,2018,48150,4.8,106,5,14 999
Volkswagen Golf 8,Volkswagen,Gris Urano,Hybride essence rechargeable,Auto...,2020,27387,0.9,21,5,24 999
Citroën C5 X,Citroën,Blanc Nacré / Toit Noir Perla Nera,Hybride essence rechargeable,Auto...,2023,4175,1.3,30,5,30 399
Renault Mégane 4,Renault,Blanc Nacré,Essence,Automatique,2019,55996,5,127,5,19 499
Citroën C3,Citroën,Spring Blue/toit Noir Onyx,Diesel,Manuelle,2021,60203,4,112,5,14 499
Renault Captur,Renault,Bleu Iron,Essence,Manuelle,2022,25830,5.9,130,5,16 499
Renault Clio 5,Renault,Gris Schiste,Essence,Manuelle,2023,6517,5,116,5,16 599
Citroën C3 Aircross,Citroën,Gris Acier,Essence,Manuelle,2021,28806,N/A,135,5,15 499
Dacia Sandero,Dacia,Gris Comète,Essence,Automatique,2021,41736,5,132,5,15 999
Peugeot 5008,Peugeot,,Essence,Automatique,2020,10094,,,,27 299
Dacia Duster,Dacia,Gris Highland,Diesel,Manuelle,2020,42468,4,108,5,17 999
Citroën C4,Citroën,Gris Acier,Essence,Manuelle,2021,16628,5,120,5,18 499
Audi A1 Sportback,Audi,Blanc Glacier Métallisé/noir Mythe Métallisé,Essence,Manuelle,2023,12347,5,125,5,23 899
Volkswagen Golf 8,Volkswagen,Pure white (weiss),Hybride essence rechargeable,Auto...,2020,22290,1.1,26,4,25 599
Citroën C4,Citroën,Bleu Iceland,Essence,Automatique,2021,31965,5.8,131,5,20 799
Mercedes Classe A,Mercedes,Gris Montagne,Essence,Automatique,2021,20400,5,137,5,28 785
Audi A3 Sportback,Audi,Silver,Essence,Manuelle,2020,57575,6.7,121,5,27 299
Citroën C5 X,Citroën,Gris Amazonite / Noir Perla Nera,Hybride essence rechargeable,Auto...,2022,9957,1,30,5,29 799
Citroën C5 Aircross,Citroën,Gris Acier,Essence,Manuelle,2021,42670,6.1,139,5,20 499
Citroën C4,Citroën,Gris Platinium,Essence,Automatique,2021,15827,5.8,131,5,20 999
Toyota C-HR,Toyota,Gris,Hybride essence,Automatique,2018,71800,3.9,86,5,20 499
Citroën C3,Citroën,Bleu,Essence,Automatique,2017,42508,4.2,110,5,14 699
Renault Clio 5,Renault,Rouge Flamme,Diesel,Manuelle,2021,24375,4.1,109,5,16 499
Citroën C3 Aircross,Citroën,Gris Platinium,Essence,Manuelle,2020,19618,N/A,104,5,15 499
Mercedes Classe A,Mercedes,Blanc digital,Essence,Automatique,2020,73771,5.9,139,5,23 499
Audi A1 Sportback,Audi,Noir Mythic,Essence,Automatique,2023,6329,6.4,135,5,32 499
Peugeot 5008,Peugeot,Noir Perla Nera,Diesel,Automatique,2020,62059,5,139,5,27 499
Renault Captur,Renault,Orange Atacama / Toit Noir Etoilé,Essence,Manuelle,2019,32476,5.6,128,5,16 299
Dacia Duster,Dacia,Gris Platine,Diesel,Manuelle,2020,24440,4.9,108,5,18 099
Audi A1 Sportback,Audi,,Essence,Automatique,2019,52207,,,,19 499
Peugeot 308,Peugeot,Blanc Nacré,Essence,Manuelle,2018,50995,4.6,115,5,16 499
Renault Kadjar,Renault,Rouge Flamme,Essence,Automatique,2022,32340,6.2,145,5,20 499
Citroën C4,Citroën,Gris Acier,Essence,Manuelle,2021,14150,5,120,5,18 999
Toyota C-HR,Toyota,Blanc Lunaire nacré,Hybride essence,Automatique,2022,20013,4.9,111,5,25 399
Renault Kadjar,Renault,Bleu Cosmos,Diesel,Manuelle,2020,72826,5.5,142,5,18 999
Nissan Qashqai,Nissan,Noir métallisé,Hybride essence,Automatique,2022,12602,6,145,5,27 499
Peugeot 3008,Peugeot,Noir Perla Nera,Essence,Manuelle,2019,50303,5,118,5,19 999
Fiat 500,Fiat,Vert,Electrique,Automatique,2022,9806,0.0,0,3,24 999
Peugeot 208,Peugeot,Noir Perla Nera,Essence,Manuelle,2017,47047,4.5,104,5,11 499
Mercedes Classe A,Mercedes,Gris Montagne,Essence,Automatique,2021,38604,5.9,136,5,28 699
Citroën C3 Aircross,Citroën,,Essence,Manuelle,2020,33224,,,,15 499
Renault Arkana,Renault,,Hybride essence,Automatique,2022,15769,,,,25 199
Volkswagen Golf 8,Volkswagen,Gris Dauphin,Essence,Automatique,2021,23164,7.3,168,5,33 299
Audi A3 Sportback,Audi,Gletscherweiß,Hybride essence rechargeable,Auto...,2021,15280,1.1,24,4,31 999
Volkswagen T-Roc,Volkswagen,Noir Intense,Essence,Manuelle,2019,77335,5.2,115,5,17 799
Citroën C5 X,Citroën,Gris Platinium,Hybride essence rechargeable,Auto...,2023,2833,1.3,30,5,30 399
Peugeot 208,Peugeot,Orange Power,Essence,Manuelle,2019,80400,4.7,108,5,11 699
Renault Captur,Renault,Noir étoilé,Essence,Manuelle,2022,23060,5.9,130,5,16 499
Audi A3 Sportback,Audi,Blanc Ibis,Essence,Automatique,2017,137714,5.7,113,5,17 799
Renault Kadjar,Renault,,Essence,Manuelle,2021,18252,,,,20 799
Nissan Qashqai,Nissan,Gris Perle,Hybride essence,Manuelle,2022,24003,6.6,146,5,27 799
Renault Arkana,Renault,Rouge Flamme,Hybride essence,Automatique,2022,30820,4.8,109,5,25 999
Fiat 500,Fiat,,Hybride essence,Manuelle,2022,12373,,,,14 699
Volkswagen T-Roc,Volkswagen,Indium Grey Metallic,Essence,Manuelle,2022,15108,6.6,135,5,23 599
Mercedes Classe A,Mercedes,Gris Montagne,Essence,Automatique,2022,16660,5,137,5,30 439
Renault Arkana,Renault,Noir Metal,Hybride essence,Automatique,2022,19391,5,132,5,25 499
Peugeot 208,Peugeot,Gris Platinium,Essence,Manuelle,2018,75683,4.3,99,5,11 799
Toyota C-HR,Toyota,Gris Atlas,Hybride essence,Automatique,2019,50479,3.8,86,5,21 999
Volkswagen Golf 8,Volkswagen,Delfingrau,Diesel,Automatique,2022,19195,5.5,136,4,36 999
Peugeot 3008,Peugeot,Gris Platinium,Diesel,Manuelle,2021,101841,5,130,5,19 499
Peugeot 3008,Peugeot,Smart Grey,Essence,Manuelle,2019,55465,6.4,118,5,19 699
Citroën C3,Citroën,Gris Platinium / Toit Noir Onyx,Essence,Manuelle,2022,12343,5,125,5,14 999
Renault Captur,Renault,Gris Highland,Essence,Manuelle,2020,35905,5.9,135,5,16 499
Audi A3 Sportback,Audi,Noir Brillant,Essence,Automatique,2020,30527,5.2,147,5,25 999
Renault Clio 5,Renault,,Essence,Manuelle,2022,15025,,,,16 699
Peugeot 5008,Peugeot,Gris Platinium,Diesel,Manuelle,2021,21432,5,133,5,28 099
Peugeot 208,Peugeot,Gris Aluminium,Essence,Manuelle,2018,73365,4.3,99,5,11 499
Dacia Duster,Dacia,Gris Comète,Diesel,Manuelle,2020,16794,4,129,5,18 499
Renault Kadjar,Renault,Noir Etoile,Diesel,Automatique,2021,55000,4.9,135,5,20 999
Peugeot 2008,Peugeot,Gris Platinium,Essence,Manuelle,2017,95351,4.9,114,5,9 999
Citroën C4,Citroën,Blanc Banquise,Essence,Automatique,2022,20111,5,131,5,19 499
Toyota C-HR,Toyota,Blanc Pur,Hybride essence,Automatique,2023,873,4,110,5,26 499
Toyota C-HR,Toyota,Blanc Pur,Hybride essence,Automatique,2020,60170,4,119,5,23 499
Renault Mégane 4,Renault,Gris Highland,Essence,Automatique,2022,38216,5.9,138,5,17 799
Fiat 500,Fiat,Onyx Black,Electrique,Automatique,2021,43227,0.0,0,3,18 999
Renault Arkana,Renault,Blanc Perle,Hybride essence,Automatique,2023,4545,5,131,5,27 499
