Name,Brand,Color,Fuel,Gearbox,Year,Km,Fuel_consumption,Co2_emission,Doors,Price
Seat Arona,Seat,Rouge,Essence,Manuelle,2020,32950,6.1,137,5,17 999
Mazda CX-3,Mazda,Rouge,Essence,Manuelle,2019,48620,6.2,141,5,16 999
Volkswagen E-UP,Volkswagen,Honey yellow (gelb),Electrique,Automatique,2020,21935,0.0,0,4,14 999
Kia Ceed,Kia,,Diesel,Automatique,2019,59651,,,,16 999
Mazda CX-5,Mazda,Meteor Grey,Diesel,Automatique,2015,114241,5.5,144,5,17 499
Opel INSIGNIA GRAND SPORT,Opel,Gris Acier Satine,Diesel,Automatique,2020,74941,5.1,148,5,17 699
Volkswagen CADDY FOURGON,Volkswagen,Blanc Candy,Diesel,Automatique,2017,68093,4,132,4,17 499
Skoda SCALA,Skoda,Bleu Racing,Essence,Manuelle,2020,54172,5.4,142,5,18 777
Audi A4 Avant,Audi,Bianco,Diesel,Automatique,2016,114667,3.9,102,5,18 999
Hyundai i30 Fastback,Hyundai,Ara Blue,Essence,Automatique,2018,61648,5.4,129,5,17 999
Opel Insignia,Opel,Silver,Diesel,Manuelle,2018,108620,5.2,136,5,17 975
Volkswagen Touran,Volkswagen,Noir Intense,Diesel,Manuelle,2019,106676,4.4,109,5,18 999
Volkswagen Caddy,Volkswagen,Reflet d?Argent mét,Diesel,Automatique,2019,96769,5,131,5,18 699
Hyundai BAYON,Hyundai,Noir,Hybride essence,Automatique,2021,49501,5.2,120,5,19 499
Seat Ateca,Seat,Noir Magique,Essence,Automatique,2017,105610,5.5,124,5,18 999
Ford Mondeo,Ford,,Diesel,Automatique,2019,109486,,,,19 034
Skoda KAMIQ,Skoda,Blanc Cristal,Diesel,Automatique,2019,20074,5.2,110,5,19 499
Honda CR-V,Honda,Gris,Diesel,Automatique,2016,102601,5,139,5,18 499
BMW I3,BMW,"Mineral Grey avec liserés ""BMW i Blue""",Electrique,Automatique,2018,35340,0.0,0,4,19 299
Mazda Mazda 6,Mazda,Marron,Diesel,Automatique,2018,106534,5.1,127,4,18 499
Skoda Fabia Combi,Skoda,Gris Météore,Essence,Automatique,2019,28491,4.8,110,5,18 899
Renault Grand Scenic,Renault,,Diesel,Manuelle,2019,96921,,,,19 199
Skoda Karoq,Skoda,Noir Magic,Diesel,Manuelle,2018,47310,5,109,5,18 999
Opel Astra Sports Tourer,Opel,Rouge,Essence,Manuelle,2022,39100,5.5,128,4,19 299
Renault Espace,Renault,Bianco,Diesel,Automatique,2018,115394,4.6,120,5,19 219
BMW X1,BMW,Mineralgrau,Diesel,Manuelle,2018,62014,4.6,109,5,22 099
Mazda Mazda 2,Mazda,Black Metallic,Hybride essence,Automatique,2023,9299,3,87,5,20 299
Audi Q3,Audi,,Essence,Automatique,2017,84564,,,,22 499
Hyundai Bayon,Hyundai,Vert metallique,Essence,Manuelle,2022,29990,5.5,124,5,19 499
BMW X2,BMW,Noir Schwarz,Essence,Manuelle,2020,69456,5.5,141,5,20 999
Hyundai Ioniq,Hyundai,Amazon Grey,Hybride essence,Automatique,2019,52211,4.6,79,5,21 999
Volvo V40,Volvo,Bleu Baltique,Diesel,Automatique,2019,67953,4.5,118,5,20 999
Ford Transit,Ford,Orange Glow,Essence,Manuelle,2022,10,6.8,155,3,20 099
BMW Série 3 Touring,BMW,Alpinweiss,Essence,Manuelle,2019,48653,6.3,138,5,20 999
Audi Q5,Audi,Noir Brillant,Diesel,Automatique,2015,123891,5.7,149,5,21 999
Opel Mokka,Opel,Vert,Essence,Manuelle,2021,21500,5.6,124,4,21 499
Abarth 695C,Abarth,Bleu Riva/Gris,Essence,Automatique,2019,55842,5.8,153,2,20 999
Mini Clubman,Mini,Starlight Blue,Essence,Automatique,2019,43700,5.5,124,6,21 499
Opel Combo Life,Opel,Gris Quartz,Diesel,Manuelle,2021,38000,5.4,144,5,20 999
Peugeot 508 SW,Peugeot,Gris Amazonite,Diesel,Automatique,2020,71598,3.8,130,5,22 299
Hyundai i30,Hyundai,,Essence,Automatique,2023,10114,,,,21 199
Volvo XC40,Volvo,Noir Onyx,Diesel,Manuelle,2019,116030,5.3,127,5,22 499
Abarth 695,Abarth,Bleu Riva/Gris,Essence,Automatique,2018,31485,5.8,134,3,21 499
Audi A4 Allroad,Audi,Blanc Ibis,Diesel,Automatique,2016,123902,5.6,149,5,21 999
Citroën C4 X,Citroën,Gris Platinium,Essence,Automatique,2023,3825,5,129,4,23 199
Land Rover Range Rover Evoque,Land,Noir,Diesel,Automatique,2015,120357,5.1,134,5,23 999
Jaguar XF,Jaguar,Narvick Black (Ebony Black),Diesel,Automatique,2018,97297,4,114,4,21 999
Ford TRANSIT CONNECT FGN,Ford,Blanc Glacier,Diesel,Automatique,2022,17337,5.7,158,4,22 999
BMW Série 5,BMW,Gris,Diesel,Automatique,2016,86626,4.5,129,5,23 099
Alfa Romeo Giulia,Alfa,Noir Vulcano,Diesel,Automatique,2018,57304,4.2,109,4,23 499
Kia ProCeed,Kia,Noir Basalte métallisé,Essence,Automatique,2019,55464,5.5,125,5,22 199
Ford Mondeo SW,Ford,Blanc,Hybride essence,Automatique,2019,71670,4,96,5,22 799
Audi A1 CITYCARVER,Audi,Pythongelb/mythosschwarz,Essence,Manuelle,2022,4905,5.8,129,4,22 999
Skoda Kodiaq,Skoda,Gris Argent,Essence,Automatique,2019,118795,6.3,125,5,23 499
Mini Cooper Cabriolet,Mini,Schwarz Metallic,Essence,Automatique,2021,65946,6.2,136,2,22 399
BMW Série 5 Touring,BMW,Sophistograu,Diesel,Automatique,2019,113993,4.7,123,5,23 999
DS DS7 CROSSBACK,DS,Gris Platinium,Hybride essence rechargeable,Auto...,2020,75540,1.5,69,5,29 499
Mercedes CLASSE A BERLINE,Mercedes,,Diesel,Automatique,2019,101751,,,,24 499
Volkswagen Sharan,Volkswagen,Blanc Pur,Diesel,Manuelle,2018,98555,5.1,132,5,23 999
